Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
2030-01-01 00:00:00,-2824.8396021067674,2824.8396021067674,-2824.8396021067674
2030-01-01 00:15:00,-2954.2886122882737,5779.128214395041,-2954.2886122882737
2030-01-01 00:30:00,-3335.620382120109,9114.74859651515,-3335.620382120109
2030-01-01 00:45:00,-3167.424798396931,12282.17339491208,-3167.424798396931
2030-01-01 01:00:00,-4029.019824135059,16311.19321904714,-4029.019824135059
2030-01-01 01:15:00,-4445.895149779202,20757.088368826342,-4445.895149779202
2030-01-01 01:30:00,-4283.012780145691,25040.101148972033,-4283.012780145691
2030-01-01 01:45:00,-4845.891812935648,29885.99296190768,-4845.891812935648
2030-01-01 02:00:00,-4879.596477168623,34765.5894390763,-4879.596477168623
2030-01-01 02:15:00,-5508.714033065957,40274.30347214226,-5508.714033065957
2030-01-01 02:30:00,-5310.146182964463,45584.44965510672,-5310.146182964463
2030-01-01 02:45:00,-5713.138314450225,51297.587969556946,-5713.138314450225
2030-01-01 03:00:00,-5105.704574686426,56403.29254424337,-5105.704574686426
2030-01-01 03:15:00,-5205.9235544438525,61609.21609868722,-5205.9235544438525
2030-01-01 03:30:00,-5088.505636438971,66697.7217351262,-5088.505636438971
2030-01-01 03:45:00,-5137.006576950589,71834.72831207678,-5137.006576950589
2030-01-01 04:00:00,-5486.739091987503,77321.46740406429,-5486.739091987503
2030-01-01 04:15:00,-5411.765910541724,82733.23331460601,-5411.765910541724
2030-01-01 04:30:00,-5215.785110005532,87949.01842461154,-5215.785110005532
2030-01-01 04:45:00,-5215.180382576436,93164.19880718798,-5215.180382576436
2030-01-01 05:00:00,-5653.191662335417,98817.3904695234,-5653.191662335417
2030-01-01 05:15:00,-5380.125317930986,104197.51578745438,-5380.125317930986
2030-01-01 05:30:00,-5050.672038443499,109248.18782589788,-5050.672038443499
2030-01-01 05:45:00,-4995.995296641195,114244.18312253908,-4995.995296641195
2030-01-01 06:00:00,-5107.117802300403,119351.30092483948,-5107.117802300403
2030-01-01 06:15:00,-4919.610135781044,124270.91106062052,-4919.610135781044
2030-01-01 06:30:00,-5065.9930453067755,129336.9041059273,-5065.9930453067755
2030-01-01 06:45:00,-5057.11233313941,134394.0164390667,-5057.11233313941
2030-01-01 07:00:00,-5357.372190128084,139751.3886291948,-5357.372190128084
2030-01-01 07:15:00,-5311.714528749362,145063.10315794416,-5311.714528749362
2030-01-01 07:30:00,-5313.163288337102,150376.26644628125,-5313.163288337102
2030-01-01 07:45:00,-5139.675167046689,155515.94161332794,-5139.675167046689
2030-01-01 08:00:00,-5227.477988655894,160743.41960198383,-5227.477988655894
2030-01-01 08:15:00,-5095.8516068466415,165839.27120883047,-5095.8516068466415
2030-01-01 08:30:00,-4988.152593821222,170827.4238026517,-4988.152593821222
2030-01-01 08:45:00,-4995.082627479667,175822.50643013135,-4995.082627479667
2030-01-01 09:00:00,-4989.838340055745,180812.3447701871,-4989.838340055745
2030-01-01 09:15:00,-5101.533453854683,185913.87822404178,-5101.533453854683
2030-01-01 09:30:00,-5279.9808016133975,191193.85902565517,-5279.9808016133975
2030-01-01 09:45:00,-5730.2640665028575,196924.12309215803,-5730.2640665028575
2030-01-01 10:00:00,-6738.394026729959,203662.51711888798,-6738.394026729959
2030-01-01 10:15:00,-7175.058110944641,210837.5752298326,-7175.058110944641
2030-01-01 10:30:00,-7551.186251672469,218388.7614815051,-7551.186251672469
2030-01-01 10:45:00,-7747.780978833009,226136.5424603381,-7747.780978833009
2030-01-01 11:00:00,-7913.2022636189195,234049.744723957,-7913.2022636189195
2030-01-01 11:15:00,-8152.804050585251,242202.54877454226,-8152.804050585251
2030-01-01 11:30:00,-8528.651746569116,250731.20052111137,-8528.651746569116
2030-01-01 11:45:00,-8758.460696473296,259489.66121758468,-8758.460696473296
2030-01-01 12:00:00,-8938.839045215405,268428.5002628001,-8938.839045215405
2030-01-01 12:15:00,-8713.494028005562,277141.99429080565,-8713.494028005562
2030-01-01 12:30:00,-8482.846961966847,285624.8412527725,-8482.846961966847
2030-01-01 12:45:00,-8637.922581775902,294262.7638345484,-8637.922581775902
2030-01-01 13:00:00,-8508.480011132306,302771.2438456807,-8508.480011132306
2030-01-01 13:15:00,-8174.6234343010965,310945.86727998185,-8174.6234343010965
2030-01-01 13:30:00,-7517.577194925128,318463.44447490695,-7517.577194925128
